## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT alignment/SRR13964607_ce11_alignment_sorted.sam --OUTPUT alignment/SRR13964607_ce11.markdup.sam --METRICS_FILE alignment/marked_dup_metrics.txt --REMOVE_DUPLICATES false --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 08 22:58:19 MSK 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	340682	15216966	0	1433400	108515	2033152	0	0.135658	51750971

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	11574928	11574928
2.0	1.745245	1370677	1370677
3.0	2.300635	177408	177408
4.0	2.714537	32490	32490
5.0	3.022996	10934	10934
6.0	3.252873	5450	5450
7.0	3.424187	3286	3286
8.0	3.551859	2042	2042
9.0	3.647005	1393	1393
10.0	3.717913	953	953
11.0	3.770756	772	772
12.0	3.810138	598	598
13.0	3.839486	431	431
14.0	3.861358	347	347
15.0	3.877658	296	296
16.0	3.889806	224	224
17.0	3.898859	168	168
18.0	3.905605	163	163
19.0	3.910633	132	132
20.0	3.91438	106	106
21.0	3.917173	95	95
22.0	3.919254	94	94
23.0	3.920805	63	63
24.0	3.92196	67	67
25.0	3.922822	52	52
26.0	3.923464	40	40
27.0	3.923942	50	50
28.0	3.924298	35	35
29.0	3.924564	36	36
30.0	3.924762	34	34
31.0	3.92491	32	32
32.0	3.92502	27	27
33.0	3.925102	21	21
34.0	3.925163	18	18
35.0	3.925208	22	22
36.0	3.925242	16	16
37.0	3.925267	25	25
38.0	3.925286	9	9
39.0	3.9253	10	10
40.0	3.925311	6	6
41.0	3.925319	19	19
42.0	3.925324	10	10
43.0	3.925329	12	12
44.0	3.925332	9	9
45.0	3.925334	9	9
46.0	3.925336	12	12
47.0	3.925337	9	9
48.0	3.925338	11	11
49.0	3.925339	5	5
50.0	3.92534	7	7
51.0	3.92534	7	7
52.0	3.925341	11	11
53.0	3.925341	5	5
54.0	3.925341	2	2
55.0	3.925341	2	2
56.0	3.925341	2	2
57.0	3.925341	3	3
58.0	3.925341	8	8
59.0	3.925341	3	3
60.0	3.925341	5	5
61.0	3.925341	2	2
62.0	3.925341	4	4
63.0	3.925341	2	2
64.0	3.925341	3	3
65.0	3.925341	4	4
66.0	3.925341	3	3
67.0	3.925341	1	1
68.0	3.925341	2	2
69.0	3.925341	3	3
70.0	3.925341	4	4
71.0	3.925341	3	3
72.0	3.925341	6	6
73.0	3.925341	0	0
74.0	3.925341	1	1
75.0	3.925341	1	1
76.0	3.925341	3	3
77.0	3.925341	3	3
78.0	3.925341	1	1
79.0	3.925341	1	1
80.0	3.925341	2	2
81.0	3.925341	2	2
82.0	3.925341	2	2
83.0	3.925341	2	2
84.0	3.925341	0	0
85.0	3.925341	3	3
86.0	3.925341	3	3
87.0	3.925341	1	1
88.0	3.925341	1	1
89.0	3.925341	2	2
90.0	3.925341	0	0
91.0	3.925341	1	1
92.0	3.925341	1	1
93.0	3.925341	4	4
94.0	3.925341	1	1
95.0	3.925341	0	0
96.0	3.925341	2	2
97.0	3.925341	0	0
98.0	3.925341	0	0
99.0	3.925341	0	0
100.0	3.925341	0	0
101.0	0	1	1
106.0	0	1	1
107.0	0	2	2
114.0	0	1	1
115.0	0	1	1
116.0	0	1	1
122.0	0	2	2
126.0	0	1	1
131.0	0	1	1
138.0	0	1	1
139.0	0	1	1
142.0	0	2	2
146.0	0	1	1
148.0	0	1	1
159.0	0	1	1
163.0	0	1	1
169.0	0	1	1
173.0	0	1	1
180.0	0	1	1
190.0	0	1	1
193.0	0	2	2
216.0	0	1	1
252.0	0	1	1
340.0	0	1	1
442.0	0	1	1
456.0	0	1	1
468.0	0	1	1
479.0	0	1	1
538.0	0	1	1
645.0	0	1	1
791.0	0	1	1
793.0	0	1	1
801.0	0	1	1
1013.0	0	1	1
1265.0	0	1	1

