## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT hisat2/control_ribo_rep1_sorted.bam --OUTPUT hisat2/control_ribo_rep1_sorted_markdup.bam --METRICS_FILE hisat2/marked_dup_metrics.txt --REMOVE_DUPLICATES false --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Feb 09 13:34:45 MSK 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	227484	18653729	29205832	491536	206881	5644481	0	0.30627	24227869

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	10996790	10996790
2.0	1.463046	1193939	1193939
3.0	1.677458	343396	343396
4.0	1.77674	154582	154582
5.0	1.822713	86364	86364
6.0	1.844	53746	53746
7.0	1.853857	35769	35769
8.0	1.858421	25885	25885
9.0	1.860535	19166	19166
10.0	1.861513	14806	14806
11.0	1.861967	11359	11359
12.0	1.862176	9213	9213
13.0	1.862274	7391	7391
14.0	1.862319	6225	6225
15.0	1.862339	5188	5188
16.0	1.862349	4506	4506
17.0	1.862354	3695	3695
18.0	1.862356	3180	3180
19.0	1.862357	2848	2848
20.0	1.862357	2561	2561
21.0	1.862357	2180	2180
22.0	1.862357	1950	1950
23.0	1.862357	1775	1775
24.0	1.862357	1515	1515
25.0	1.862357	1419	1419
26.0	1.862357	1290	1290
27.0	1.862357	1120	1120
28.0	1.862357	1055	1055
29.0	1.862357	933	933
30.0	1.862357	879	879
31.0	1.862357	764	764
32.0	1.862357	735	735
33.0	1.862357	685	685
34.0	1.862357	612	612
35.0	1.862357	592	592
36.0	1.862357	506	506
37.0	1.862357	481	481
38.0	1.862357	485	485
39.0	1.862357	426	426
40.0	1.862357	387	387
41.0	1.862357	356	356
42.0	1.862357	348	348
43.0	1.862357	320	320
44.0	1.862357	301	301
45.0	1.862357	305	305
46.0	1.862357	248	248
47.0	1.862357	223	223
48.0	1.862357	250	250
49.0	1.862357	243	243
50.0	1.862357	240	240
51.0	1.862357	194	194
52.0	1.862357	178	178
53.0	1.862357	194	194
54.0	1.862357	168	168
55.0	1.862357	160	160
56.0	1.862357	152	152
57.0	1.862357	143	143
58.0	1.862357	125	125
59.0	1.862357	178	178
60.0	1.862357	152	152
61.0	1.862357	117	117
62.0	1.862357	117	117
63.0	1.862357	106	106
64.0	1.862357	123	123
65.0	1.862357	95	95
66.0	1.862357	77	77
67.0	1.862357	106	106
68.0	1.862357	115	115
69.0	1.862357	101	101
70.0	1.862357	83	83
71.0	1.862357	76	76
72.0	1.862357	82	82
73.0	1.862357	67	67
74.0	1.862357	79	79
75.0	1.862357	76	76
76.0	1.862357	69	69
77.0	1.862357	46	46
78.0	1.862357	61	61
79.0	1.862357	62	62
80.0	1.862357	63	63
81.0	1.862357	54	54
82.0	1.862357	56	56
83.0	1.862357	51	51
84.0	1.862357	62	62
85.0	1.862357	51	51
86.0	1.862357	59	59
87.0	1.862357	51	51
88.0	1.862357	38	38
89.0	1.862357	52	52
90.0	1.862357	45	45
91.0	1.862357	41	41
92.0	1.862357	47	47
93.0	1.862357	36	36
94.0	1.862357	34	34
95.0	1.862357	38	38
96.0	1.862357	39	39
97.0	1.862357	31	31
98.0	1.862357	41	41
99.0	1.862357	39	39
100.0	1.862357	32	32
101.0	0	36	36
102.0	0	33	33
103.0	0	40	40
104.0	0	24	24
105.0	0	26	26
106.0	0	24	24
107.0	0	25	25
108.0	0	27	27
109.0	0	36	36
110.0	0	25	25
111.0	0	25	25
112.0	0	20	20
113.0	0	18	18
114.0	0	32	32
115.0	0	22	22
116.0	0	22	22
117.0	0	16	16
118.0	0	20	20
119.0	0	17	17
120.0	0	16	16
121.0	0	28	28
122.0	0	21	21
123.0	0	26	26
124.0	0	11	11
125.0	0	21	21
126.0	0	16	16
127.0	0	15	15
128.0	0	22	22
129.0	0	18	18
130.0	0	14	14
131.0	0	9	9
132.0	0	15	15
133.0	0	14	14
134.0	0	12	12
135.0	0	15	15
136.0	0	18	18
137.0	0	12	12
138.0	0	16	16
139.0	0	14	14
140.0	0	10	10
141.0	0	12	12
142.0	0	13	13
143.0	0	14	14
144.0	0	13	13
145.0	0	16	16
146.0	0	13	13
147.0	0	14	14
148.0	0	10	10
149.0	0	10	10
150.0	0	5	5
151.0	0	11	11
152.0	0	6	6
153.0	0	9	9
154.0	0	11	11
155.0	0	11	11
156.0	0	7	7
157.0	0	10	10
158.0	0	4	4
159.0	0	3	3
160.0	0	7	7
161.0	0	6	6
162.0	0	13	13
163.0	0	9	9
164.0	0	10	10
165.0	0	10	10
166.0	0	7	7
167.0	0	6	6
168.0	0	4	4
169.0	0	7	7
170.0	0	6	6
171.0	0	7	7
172.0	0	6	6
173.0	0	5	5
174.0	0	9	9
175.0	0	9	9
176.0	0	7	7
177.0	0	7	7
178.0	0	3	3
179.0	0	3	3
180.0	0	6	6
181.0	0	10	10
182.0	0	7	7
183.0	0	12	12
184.0	0	8	8
185.0	0	5	5
186.0	0	4	4
187.0	0	8	8
188.0	0	8	8
189.0	0	3	3
190.0	0	6	6
191.0	0	7	7
192.0	0	4	4
193.0	0	3	3
194.0	0	4	4
195.0	0	5	5
196.0	0	4	4
197.0	0	10	10
198.0	0	6	6
199.0	0	4	4
200.0	0	5	5
201.0	0	5	5
202.0	0	5	5
203.0	0	5	5
204.0	0	2	2
205.0	0	2	2
206.0	0	5	5
207.0	0	1	1
208.0	0	5	5
209.0	0	3	3
210.0	0	5	5
211.0	0	5	5
212.0	0	6	6
213.0	0	3	3
214.0	0	6	6
215.0	0	3	3
216.0	0	3	3
217.0	0	3	3
218.0	0	4	4
219.0	0	5	5
220.0	0	1	1
221.0	0	1	1
222.0	0	5	5
223.0	0	9	9
224.0	0	5	5
225.0	0	2	2
226.0	0	5	5
227.0	0	5	5
228.0	0	4	4
230.0	0	6	6
231.0	0	3	3
232.0	0	3	3
233.0	0	4	4
234.0	0	2	2
235.0	0	3	3
236.0	0	2	2
237.0	0	3	3
238.0	0	3	3
239.0	0	1	1
240.0	0	3	3
241.0	0	2	2
243.0	0	1	1
244.0	0	2	2
245.0	0	3	3
246.0	0	5	5
247.0	0	1	1
248.0	0	4	4
249.0	0	2	2
250.0	0	2	2
251.0	0	3	3
252.0	0	2	2
253.0	0	3	3
254.0	0	5	5
255.0	0	3	3
256.0	0	5	5
257.0	0	5	5
258.0	0	3	3
259.0	0	1	1
260.0	0	5	5
261.0	0	1	1
262.0	0	4	4
263.0	0	1	1
264.0	0	1	1
265.0	0	4	4
266.0	0	2	2
267.0	0	5	5
269.0	0	2	2
270.0	0	2	2
271.0	0	1	1
273.0	0	4	4
