# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-T" "6" "-s" "2" "-a" "downloads/Saccharomyces_cerevisiae.R64-1-1.108.gtf" "-o" "counts/counts.txt" "hisat2/control_ribo_rep1_sorted_markdup_filt.bam" 
Geneid	Chr	Start	End	Strand	Length	hisat2/control_ribo_rep1_sorted_markdup_filt.bam
YDL246C	IV	8683	9756	-	1074	2
YDL243C	IV	17577	18566	-	990	395
YDR387C	IV	1248154	1249821	-	1668	1511
YDL094C	IV	289572	290081	-	510	8
YDR438W	IV	1338274	1339386	+	1113	268
YDR523C	IV	1485566	1487038	-	1473	65
YDR542W	IV	1523249	1523611	+	363	1
YDR492W	IV	1434924	1435874	+	951	3182
YDR018C	IV	482670	483860	-	1191	315
YDL189W	IV	122216	123589	+	1374	1890
YDR508C	IV	1466453	1468444	-	1992	4675
YDR462W	IV	1386073	1386516	+	444	594
YDR175C	IV	813193	814152	-	960	1195
YDR186C	IV	832859	835492	-	2634	5563
YDR150W	IV	755628	763874	+	8247	15076
YDR243C	IV	948518	950284	-	1767	932
YDL182W	IV	133437	134723	+	1287	2118
YDR362C	IV	1196679	1198697	-	2019	876
YDR232W	IV	927452	929098	+	1647	7657
YDR158W	IV	770357	771454	+	1098	7318
YDR439W	IV	1339676	1340719	+	1044	270
YDL206W	IV	90176	92464	+	2289	1346
YDR125C	IV	701397	702758	-	1362	573
YDR338C	IV	1147379	1149466	-	2088	1413
YDR526C	IV	1491075	1491545	-	471	7
YDR533C	IV	1501447	1502160	-	714	1896
YDR272W	IV	1009010	1009834	+	825	2256
YDR197W	IV	851228	852397	+	1170	960
YDR512C	IV	1470500	1471063	-	564	465
YDR489W	IV	1431012	1431896	+	885	404
YDR299W	IV	1059627	1061231	+	1605	1290
YDL015C	IV	426002	426934	-	933	3987
YDR304C	IV	1071880	1072557	-	678	5402
YDR271C	IV	1008395	1008766	-	372	8
YDL181W	IV	135179	135436	+	258	717
YDR367W	IV;IV	1212848;1212979	1212877;1213614	+;+	666	1079
YDR085C	IV	614288	616150	-	1863	4708
YDL097C	IV	285391	286695	-	1305	6891
YDL139C	IV	211375	212046	-	672	403
YDR200C	IV	854279	856093	-	1815	1779
YDR191W	IV	842337	843449	+	1113	330
